english,hindi,English_Emotion,English_Confidence,Hindi_Emotion,Hindi_Confidence
"4 days after the massive tsunami struck Japan, hopes of finding anyone still alive were fading.",बडे पैमाने पर सुनामी से प्रभावीत जापान में 4 दिनो बाद कोई अभी तक जिंदा होने की आशाएँ लुप्त हो रही थी। ,fear,0.5430925488471985,surprise,0.6502758860588074
What was completing the square?,वर्ग का पूर्णा क्या था? ,surprise,0.694525420665741,surprise,0.5339207053184509
I have already done my work.,मैं अपना काम कर चुका हूँ। ,surprise,0.1851748824119568,surprise,0.567197859287262
National Mental Health Programme,राष्ट्रीय मनः स्वास्थ्य कार्यक्रम,surprise,0.49088382720947266,joy,0.7222669720649719
menu,क्रियावली,surprise,0.46110963821411133,surprise,0.6816816926002502
The inflation rate is apparently in the ascending degree.,मुद्रास्फीति की दर प्रत्यक्ष रूप से उपरली डिग्री में है। ,surprise,0.4437797963619232,anger,0.30425897240638733
A sludge of blood in the vessel causes absruction to blood flow.,वाहिका में रूधिर अवपंक रक्त प्रवाह में अवरोध का कारण है,surprise,0.5461074709892273,love,0.47816088795661926
Device,उपकरण,surprise,0.664078414440155,surprise,0.7226803302764893
Harkat - ul - Jihad al - Islami,हरकत-उल-जिहाद-ए-इस्लामी,surprise,0.5143184065818787,love,0.613381028175354
URL …,URL …,surprise,0.4676414430141449,surprise,0.4676414430141449
How do I raise the self - esteem of a child,किसी बच्चे का स्वाभिमान बढाना,surprise,0.5100547075271606,fear,0.5280827879905701
"Anshu replied, The other day I was on my terrace flying a kite.","अंशु बोला, आंटी मैं एक दिन अपनी छत पर पतंग उड़ा रहा था। ",surprise,0.6609435081481934,surprise,0.7906674146652222
The following is a typical example of many Telugu folk songs addressed to the moon.,निम्नलिखित तेलुगु गीत चंद्रमा से संबंधित लोक गीतों का एक उदाहरण हैं। ,surprise,0.25095564126968384,surprise,0.4512844979763031
Note,व्याख्या,surprise,0.5888981223106384,surprise,0.5478742718696594
and then fill in the box where your market would go.,और उसके बाद जहां आपके बाजार जाना होता तो बॉक्स में भरें। ,surprise,0.4114414155483246,surprise,0.7555748820304871
Sterilisation,विसंक्रमण,surprise,0.5702375173568726,love,0.45168057084083557
"Terrorists are not stupid; focusing on Arabs, as Smerconish urges, will prompt them to turn to non - Arab operatives. This is already a concern. Jean - Louis Bruguière, the leading French anti - terrorist investigating judge, warned along these lines in May 2003, recounts Robert Leiken, that “al - Qaida had stepped up its European recruiting efforts and was on the lookout for women and light - skinned converts in particular. ” The deputy director of a French intelligence agency, the Direction de la Surveillance du Territoire, even told Mr. Leiken that “converts are our most critical work now. ” < s > Smerconish responds to my argument by acknowledging that his book may at some point become obsolete, “but that day is not today. ” He sees physical appearance remaining a key predictor of intentions.",फिलाडेल्फिया डेली न्यूज़ के स्तंभकार और रेडियो टॉक शो के मेजबान माईकल ए. स्मरकोनिश ने अपनी नई और साहसी पुस्तक Flying Blind: How Political Correctness Continues to Compromise Airline Safety Post 9/11. में लिखा है कि प्रमुख तत्व नस्ल है. इसके विपरीत मेरा मानना है कि मुख्य बाहरी तत्व नहीं है वरन् यह है कि व्यक्ति के मस्तिष्क में क्या है जिसे इस्लामवादी आस्था कह सकते हैं. ,surprise,0.6017835736274719,surprise,0.6046444773674011
"I wish you all the very best. Let me conclude in the words of Confucius: ""Education breeds confidence. Confidence breeds hope. Hope breeds peace”.","मैं कन्फूसियस के शब्दों से अपनी बात समाप्त करता हूं, ‘शिक्षा से विश्वास पैदा होता है,विश्वास से उम्मीद पैदा होती है, उम्मीद से शांति पैदा होती है।’",joy,0.8695536255836487,fear,0.6231155395507812
No Title,कोई शीर्षक नहीं,surprise,0.5659164190292358,surprise,0.823447585105896
Select,चुनें,surprise,0.5219261646270752,surprise,0.7288698554039001
Dark Gray,गाढ़ा धूसर,sadness,0.4547989070415497,anger,0.3123250901699066
preserve,संभालना,surprise,0.46058425307273865,love,0.3609565794467926
It 's been my observation that most people get ahead during the time that others waste.,मैंने देखा है कि ज्यादातर लोग उस समय आगे निकल जाते हैं जब दूसरे समय को बरबाद कर रहे होते हैं। ,surprise,0.3421630561351776,anger,0.637584388256073
Emergency contraception can be use only up to 72 hours (3days) after the occurrence of unprotected sex.,असुरक्षित संभोग क्रिया के बाद 72 घंटे (3 दिन) तक ही आपाती गर्भ निरोधकों का प्रयोग किया जा सकता है। ,surprise,0.5617051124572754,surprise,0.40998613834381104
"The Constitution, which provides for certain basic safeguards which have been called fundamental rights, also provides for a quick and inexpensive remedy for the enforcement of such rights.","हमारे संविधान में, जिसमें कुछ आधारभूत रक्षोपाय दिए गए हैं जिन्हें मूल अधिकार कहा गया है, इन अधिकारों के प्रवर्तन के लिए त्वरित एवं कमखर्च उपाय की व्यवस्था भी की गई है। ",surprise,0.4492693543434143,surprise,0.7781657576560974
HTML5 can be used to create all sorts of,HTML5 के सभी प्रकार बनाने के लिए इस्तेमाल किया जा सकता है ,surprise,0.42574694752693176,surprise,0.48109155893325806
agency,सबील,surprise,0.5446459054946899,surprise,0.35077306628227234
"Allah, there is no god except He. He will gather you to the Resurrection Day, there is no doubt in it. And who is truer in statement than Allah?",अल्लाह तो वही परवरदिगार है जिसके सिवा कोई क़ाबिले परस्तिश नहीं वह तुमको क़यामत के दिन जिसमें ज़रा भी शक नहीं ज़रूर इकट्ठा करेगा और ख़ुदा से बढ़कर बात में सच्चा कौन होगा,surprise,0.7329568266868591,surprise,0.8214629292488098
market intermediary,विपणन बिचौलिया,surprise,0.5517339706420898,surprise,0.3717099726200104
The programme also witnessed the launch of two scholarship schemes – Saksham and Pragati.,इसी कार्यक्रम में दो छात्रवृत्ति योजनाओं—सक्षम एवं प्रगति—का भी शुभारंभ हुआ।,surprise,0.3084673285484314,fear,0.39246413111686707
The customer should give an application to close an account.,ग्राहक को लेखा संवरण के लिए प्रत्र लिखना पढ़ता है। ,surprise,0.31580081582069397,surprise,0.3720332086086273
Network _ Game,संजाल खेल (_ G) ,surprise,0.5753118395805359,sadness,0.271860271692276
Nagpur district,नागपुर जिला,surprise,0.4539693295955658,surprise,0.6834121346473694
Reload,री-लोड @action,surprise,0.478222519159317,love,0.8905136585235596
Uterine rupture may be during curretage of uterus.,गर्भाश्य विदार गर्भाशय के क्यूरोटटेज के दौरान हो सकता है। ,surprise,0.32813894748687744,joy,0.4143775403499603
Bamboos were used in the lawn of the resort.,रिसॉर्ट के लॉन में बांसों का उपयोग किया गया है। ,surprise,0.2911726236343384,surprise,0.49305829405784607
"Under the Scheme, financial assistance between 75% to 85% of the project cost upto maximum of Rs. 8 lakh per idea / unit, provided to Business Incubators (BIs).","योजना के तहत रुपये की अधिकतम परियोजना लागत की वित्तीय सहायता से 85% से 75% के बीच। व्यापार इन्क्यूबेटरों (बीआईएस) के लिए प्रदान की जाती विचार/प्रति यूनिट 8 लाख,। भारतीय मानक ब्यूरो के भी रुपये का लाभ उठाने के पात्र हैं। ",surprise,0.3842703700065613,surprise,0.3216944634914398
to asking for something in a pleading manner,विनातिपूर्वक कुछ माँगना,surprise,0.6725709438323975,surprise,0.5654929280281067
This is an extraordinary case.,यह एक असाधारण घटना है। ,surprise,0.9966131448745728,surprise,0.8180558085441589
giant hornbill,विशालकाय होर्नबिल,surprise,0.5382024049758911,surprise,0.5518072843551636
"More and more countries are fighting back by requiring that tobacco packages graphically show the dangers of tobacco, as called for in the WHO Framework Convention on Tobacco Control.",विश्व स्वास्थ्य संगठन के फ्रेमवर्क कंवेंशन ऑन टोबैको कंट्रोल के अनुसार दुनियाभर के देश तम्बाकू के पैकेटों पर उससे होने वाले हानि दर्शाये जाने की लड़ाई लड़ रहे हैं। ,surprise,0.36595427989959717,fear,0.8864718675613403
Only approved contractors have been allowed to bid for the contract.,ठेके के लिए बोली लगाने की आज्ञा सिर्फ अनुमोदित ठेकेदारों को ही दी गयी है। ,surprise,0.37516695261001587,surprise,0.9183619022369385
Tax capitalisation may be used as a form of assistance to the needy industries.,कर का पूंजीकरण जरुरतमंद उद्योगों को सहायता प्रदान करने का एक उपाय हो सकता है। ,surprise,0.615492045879364,surprise,0.8549486398696899
disorder,आकुलत्व,surprise,0.7616016268730164,surprise,0.62387615442276
cerement,प्रेत-पट,surprise,0.4746464788913727,surprise,0.574455201625824
Counterclockwise Right,घड़ी की विपरीत दिशा में दाएं,surprise,0.42633479833602905,sadness,0.4918173551559448
What is the matter with you? Why do you not help one another?,(अरे कमबख्तों) अब तुम्हें क्या होगा कि एक दूसरे की मदद नहीं करते,surprise,0.6549185514450073,surprise,0.9417582154273987
The Sutras could play that part once again in the fissured world of the modern thinker.,आधुनिक चिनतकों की मतविभाजित दुनिया में वे सूत्र एक बार फिर अपनी भूमिका निभा सकते हैं। ,surprise,0.5472792983055115,fear,0.9164926409721375
Unsigned Number,à¤à¤¹à¤¸à¥à¤¤à¤¾à¤à¤¤à¤°à¤¿à¤¤ à¤¸à¤à¤à¥à¤¯à¤¾,surprise,0.44295012950897217,surprise,0.5476852059364319
"The Lion, king of the forest, was resting under a tree.",जंगल का राजा सिंह एक पेड के नीचे सुस्ता रहा था। ,surprise,0.49219852685928345,surprise,0.34912294149398804
uncoloured,निरङ्ग,surprise,0.45909562706947327,surprise,0.4898204505443573
Creating file layout,फ़ाइल ख़ाका का निर्माण,surprise,0.5038453340530396,surprise,0.38338035345077515
Open,खोलें (O) ,surprise,0.5543952584266663,love,0.7725282311439514
"but denied [them] and turned away,",मगर झुठलाया और (ईमान से) मुँह फेरा,surprise,0.5498610734939575,fear,0.7273217439651489
There were no fire - engines within fifty miles.,आसपास पचास मील तक कहीं कोई आग बुझाने वाली मोटर थी ही नहीं। ,surprise,0.3511662483215332,anger,0.5891484618186951
The train ran off the tracks.,ट्रेन पटरी से उतर गई। ,surprise,0.7099300026893616,surprise,0.4877418279647827
A freeze in fresh farm jobs owing to over - employment and increasing inability of the non - farm sector in rural areas to absorb excess rural workforce have led to the teeming of manpower in urban areas.,अधिक रोजगार के कारण नए कृषि रोजगारों पर रोक तथा ग्रामीण इलाकों में अतिशय ग्रामीण कार्यबल को खपाने करने में गैर कृषि क्षेत्र की बढ़ती अक्षमता से शहरी इलाकों में जनशक्ति की बाढ़ सी आ गई है। ,surprise,0.5504195690155029,surprise,0.9030336141586304
Failed to load image information,छवि जानकारी लोड करने में असफल,surprise,0.32269835472106934,surprise,0.32066798210144043
"They take India for granted, not realising that nothing can be taken for granted in this cataclysmic age, much less India which, though quiet on the surface, is shaken by all manner of forces and vital urges.","वह हिंदुसतान की बिल्कुल भी परवाह नहीं करते, वह यह नहीं समझते कि क्रांति के इस जमाने में किसी की भी अनदेखी नहीं की जा सकती, हिंदुस्तान की तो और भी नहीं क़्योंकि यह ऊपर से तो शांत दिखता है, लेकिन हर तरह की ताकतें और भावनाएं इसे भीतर ही भीतर झकझोर रही हैं. ",surprise,0.9536310434341431,surprise,0.6689812541007996
Pause,ठहरें,surprise,0.5330930352210999,surprise,0.3583050072193146
Australian,आस्ट्रेलियाई-भाषा,surprise,0.40898168087005615,joy,0.4238165020942688
grasping,पकड़ाई,surprise,0.39225712418556213,surprise,0.46438124775886536
direct tax,प्रत्यक्ष कर/कराधान,surprise,0.5945797562599182,surprise,0.6662571430206299
In which they will remain forever; in it they will find neither a protector nor any supporter.,जिसमें वह हमेशा अबदल आबाद रहेंगे न किसी को अपना सरपरस्त पाएँगे न मद्दगार,surprise,0.6212986707687378,surprise,0.7577394247055054
"Some major rivers in Himalaya are Sindhu, Ganga, Brahmaputra and Yangtez.",हिमालय की कुछ प्रमुख नदियों में शामिल हैं-सिंधु गंगा ब्रम्हपुत्र और यांगतेज। ,surprise,0.2466689944267273,surprise,0.4350769817829132
sycophantic,खुशामदी,surprise,0.8697669506072998,sadness,0.42846056818962097
"(Muhammad), tell them, ""It is all the same whether you call Him God or the Beneficent. All the good names belong to Him."" (Muhammad), do not be too loud or slow in your prayer. Choose a moderate way of praying.","कह दो, ""तुम अल्लाह को पुकारो या रहमान को पुकारो या जिस नाम से भी पुकारो, उसके लिए सब अच्छे ही नाम है।"" और अपनी नमाज़ न बहुत ऊँची आवाज़ से पढ़ो और न उसे बहुत चुपके से पढ़ो, बल्कि इन दोनों के बीच मध्य मार्ग अपनाओ",surprise,0.40753528475761414,surprise,0.8843875527381897
gnawing animal,कृंतक प्राणी,surprise,0.6134354472160339,fear,0.4874759018421173
macerate,द्रवनिवेशन,surprise,0.5639770030975342,love,0.8423962593078613
He had received rupees seven hundred and fifty for a film on Seva Sudan.,उन्हें सेवासदन पर एक फ़िल्म बनाने के लिए सात सौ पजास रूपये मिले थे। ,surprise,0.28943607211112976,surprise,0.9014794230461121
It will stand for a Federal Government for India as the ultimate goal but for a strong central government with dictatorial powers for some years to put India on her feet.,"चरम लक्ष्य के रूप में इसे भारत के लिए संघीय सरकार की ही पैरवी करनी होगी, लेकिन देश को स्वावलंबी बनाने के लिए कुछ वर्षों तक केंद्र में तानाशाही अधिकारों वाली शक़्तिशाली सरकार की अनिवार्यता भी समझ लेनी होगी. ",surprise,0.47164541482925415,surprise,0.4429187476634979
"But those who have feared their Lord - for them are chambers, above them chambers built high, beneath which rivers flow. [This is] the promise of Allah. Allah does not fail in [His] promise.",जो आग में (पड़ा) हो मगर जो लोग अपने परवरदिगार से डरते रहे उनके ऊँचे-ऊँचे महल हैं (और) बाला ख़ानों पर बालाख़ाने बने हुए हैं जिनके नीचे नहरें जारी हैं ये खुदा का वायदा है (और) वायदा ख़िलाफी नहीं किया करता,fear,0.5226232409477234,fear,0.7649688124656677
"By way of this appeal, the appellant has assailed the judgment of conviction and order of sentence as bad in law on various grounds.","इस अपील के माध्यम से, अपीलार्थी ने दोषसिद्धि और दंडादेश के आदेश पर, उसके विभिन्न आधारों पर विधि की दृष्टि से दोषपूर्ण होने पर, अभ्याक्रमण किया है. ",surprise,0.4318578541278839,surprise,0.35193654894828796
outdated,अप्रचरित,surprise,0.4529728293418884,surprise,0.48729264736175537
"Points: 122 Year: July - September, 2008","अंक: 122 वर्ष: जुलाई-सितंबर, 2008",surprise,0.396391898393631,surprise,0.33399102091789246
"It, however, said that it may not be advisable to provide for reservations in certain areas, e. g. in technical posts, re - search and development organisations, in specialities and super specialities in medicine, engineering and other such courses in physical sciences and mathematics, in defence services and connected establishments.","किंतु, इसमें कहा गया कि कतिपय क्षेत्रों के तकनीकी पदों, अनुसंधान तथा विकास संगठनों, चिकित्सा, इंजीनियरी और भौतिकी विज्ञानों तथा गणित के ऐसे ही अन्य पाठ्यक्रमों में विशेष अध्ययन या अति विशेष अध्ययन, तथा रक्षा सेवाओं से संबंधित प्रतिष्ठानों में आरक्षणों का उपबंध करना उचित नहीं होगा। ",surprise,0.424975723028183,surprise,0.4596590995788574
"but it will be ignored by the most unfortunate,",और बदबख्त उससे पहलू तही करेगा,surprise,0.935795783996582,sadness,0.5203306674957275
"all the rocks, then silicon, aluminum, iron, calcium, a bunch of stuff.","सभी चट्टानों, तो सिलिकॉन, एल्यूमीनियम, लोहा, कैल्शियम, सामान का एक गुच्छा. ",surprise,0.5488506555557251,surprise,0.536001443862915
Technology is built not so much by individuals but by organizations.,प्रौद्योगिकी का निर्माण व्यक्तियों से कहीं अधिक संगठनों द्वारा किया जाता है। ,surprise,0.4281500577926636,surprise,0.9850799441337585
A process of straightening fractured bones by using wires or pins.,तार या पिन का उपयोग करके टूटी हुई हड्डियों को सीधी करने की एक प्रक्रिया. ,surprise,0.6084766983985901,sadness,0.8690625429153442
It gives voice to the downtrodden and dispossessed.,यह दबे-कुचलों और वंचितों की आवाज है।,sadness,0.6735395789146423,surprise,0.41556409001350403
less than or whatever?,कम से कम या जो कुछ भी? ,surprise,0.7314924001693726,joy,0.5978738069534302
part that we 're subtracting from the other fraction part was smaller.,जिसको हम दूसरे अंश भाग से घटा रहे थे,surprise,0.5437605977058411,surprise,0.8028267621994019
Credit delivery through Micro Credit Organizations / Self Help Groups,माइक्रो ऋण संगठनों/स्वयं सहायता समूहों के माध्यम से ऋण सुपुर्दगी,surprise,0.4853745102882385,sadness,0.36892974376678467
"(As for) those who took the calf (for a god), surely wrath from their Lord and disgrace in this world 's life shall overtake them, and thus do We recompense the devisers of lies.",बेशक जिन लोगों ने बछड़े को (अपना माबूद) बना लिया उन पर अनक़रीब ही उनके परवरदिगार की तरफ से अज़ाब नाज़िल होगा और दुनियावी ज़िन्दगी में ज़िल्लत (उसके अलावा) और हम बोहतान बॉधने वालों की ऐसी ही सज़ा करते हैं,anger,0.5574614405632019,anger,0.4022209942340851
"While toying with the idea of a table top version instead of existing floor based version, he realised that the design would become more complex to feed the cane at the exact height when used by various users","वर्तमान में उपलब्ध सतह आधारित मशीन के बदले, टेबल टॉप वर्जन पर अध्ययन के दौरान उन्हें महसूस हुआ कि जब इसे विभिन्न उपयोगकर्ताओं द्वारा प्रयोग में लाया जाएगा तो इसमें गन्ने डालने के क्रम में इसका उपयोग बहुत ही जटिल हो जाएगा। ",surprise,0.6761683225631714,surprise,0.47844409942626953
Tar compressed with bzip2 (. tar. bz2),"टीएआर, बी-ज़िप2 के साथ संपीडित (. tar. bz2) ",surprise,0.39131560921669006,surprise,0.28161096572875977
"They have no true respect of God when they say, ""God has not sent anything to a mortal being."" (Muhammad), tell them, ""Who revealed the Book containing a light and guidance for the people which Moses brought? You wrote down only some parts of the original on paper and hid much, even after having learnt from it, that which neither you nor your fathers knew."" Tell them, ""God has (revealed the Quran),"" and then leave them alone to pursue their useless investigations.",और बस और उन लोगों (यहूद) ने ख़ुदा की जैसी क़दर करनी चाहिए न की इसलिए कि उन लोगों ने (बेहूदे पन से) ये कह दिया कि ख़ुदा ने किसी बशर (इनसान) पर कुछ नाज़िल नहीं किया (ऐ रसूल) तुम पूछो तो कि फिर वह किताब जिसे मूसा लेकर आए थे किसने नाज़िल की जो लोगों के लिए रौशनी और (अज़सरतापा (सर से पैर तक)) हिदायत (थी जिसे तुम लोगों ने अलग-अलग करके काग़जी औराक़ (कागज़ के पन्ने) बना डाला और इसमें को कुछ हिस्सा (जो तुम्हारे मतलब का है वह) तो ज़ाहिर करते हो और बहुतेरे को (जो ख़िलाफ मदआ है) छिपाते हो हालॉकि उसी किताब के ज़रिए से तुम्हें वो बातें सिखायी गयी जिन्हें न तुम जानते थे और न तुम्हारे बाप दादा (ऐ रसूल वह तो जवाब देगें नहीं) तुम ही कह दो कि ख़ुदा ने (नाज़िल फरमाई) ,surprise,0.7960877418518066,fear,0.35029521584510803
Ajay Maken,अजय माकन,joy,0.4695647358894348,surprise,0.472354918718338
To them they are a symbol of status and security.,उनके लिए वे सम्मान और सुरक्ष्ज्ञज्ञ के प्रतीक हैं। ,surprise,0.5533410906791687,surprise,0.3800811469554901
Herbalife,हर्बालाइफ ,surprise,0.4757827818393707,love,0.5989558100700378
Europe / Kiev,यूरोप/केव,surprise,0.44522032141685486,joy,0.7029878497123718
"Before dealing with the arguments advanced by the counsel for the parties, it would be appropriate to set out the nature of the controversy and it cannot be better demonstrated than by visually depicting the same.","पक्षकारों के वकील के तर्कों के साथ निपटने से पहले, विवाद की प्रकृति का वर्णन करना उपयुक्त होगा और इसका प्रदर्शन उसी का दृष्टिगत रूप से चित्रण करने से बेहतर नहीं किया जा सकता है. ",surprise,0.44473135471343994,surprise,0.4561787545681
Life is hard hi the rural areas.,ग्रामीण क्षेत्रों में लोगों को कठोर जीवन जीना होता है। ,surprise,0.41542696952819824,surprise,0.3376918435096741
Vermiform is also called as lumbrical.,कृम्याकार को लम्ब्रीकल भी कहा जाता है. ,surprise,0.3342924118041992,surprise,0.6844943165779114
penetration,ज्ञान,surprise,0.5876905918121338,joy,0.6179433465003967
"If I have $2, that 's less than $5, or $5 is greater than $2.","अगर मेरे पास $2 हैं, जो $5 से छोटे हैं, या $5 बड़े हैं $2 से ",surprise,0.3634696304798126,surprise,0.3249274790287018
"Karnataka has an impressive record in attracting and retaining Foreign Direct Investments (FDI), especially in the realm of industrial investments.","कर्नाटक में प्रत्य क्ष विदेशी निवेश (एफडीआई) को आकर्षित तथा धारित करने का एक प्रभावशाली रिकॉर्ड रहा है, ",surprise,0.42533040046691895,joy,0.2588987648487091
Set Secondary Event Type,à¤¨à¤¯à¤¾% 1,surprise,0.5996068120002747,surprise,0.4677620828151703
Tissue culture and orchid units,ऊतक संवर्धन और ऑर्किड इकाइयां,surprise,0.38351109623908997,surprise,0.38896340131759644
international financial centre,अंतर्राष्ट्रीय वित्तीय केन्द्र,surprise,0.4376507103443146,surprise,0.737893283367157
'' What makes you think so.,महाशय भी सोच रहे थेमौत क्या है? ,surprise,0.5117613673210144,surprise,0.7032284736633301
Restitution,प्रत्यानयन,surprise,0.4594910144805908,surprise,0.483837753534317
The latter was published in the name of Veluri Sivarama Sastry; a student of theirs.,वे वेलूरि शिवराम शास्त्री के नाम से प्रकाशित हुए। ,surprise,0.4360100328922272,love,0.37313327193260193
Apex Level,शीर्ष स्तर,surprise,0.4976996183395386,surprise,0.5136624574661255
Depth:,गहराईः,surprise,0.46019160747528076,surprise,0.34686678647994995
Signing is not supported by this cipher,हस्ताक्षर इस सिफर के द्वारा समर्थित नहीं है,surprise,0.5781160593032837,surprise,0.8391864895820618
"It is no more than a suggestion, but it is worth pondering.","यह केवल एक सुझाव मात्र था, किंतु है यह विचारणीय। ",surprise,0.9749547839164734,surprise,0.8973443508148193
crisis,आपत्,surprise,0.5600939393043518,surprise,0.8544222116470337
The State also has two major river systems - Mahanadi and Godawari and their tributaries that form a network of 3573 kms.,"राज्य में दो मुख्य नदी तंत्र भी हैं, महानदी तथा गोदावरी और उनकी सहायक नदियां जो 3573 कि. मी. के नेटवर्क का निर्माण करती हैं। ",joy,0.253640353679657,surprise,0.36108139157295227
"Besides women members of the family, almost all the household articles come within its scope.",दायरे में परिवार की स्त्रियों से लेकर सभी घरेलू सामान तक आ जाते हैं। ,surprise,0.3003733158111572,surprise,0.2363707274198532
We have to attract meritorious students for doing PhD.,हमें पी-एच. डी. करने के लिए मेधावी विद्यार्थियों को आर्कषत करना होगा। ,surprise,0.4467103183269501,joy,0.3431277275085449
"So obviously if you have some energy, you do some work,","तो जाहिर है यदि आप कुछ ऊर्जा है, तो आपको कुछ ऐसा काम, ",joy,0.502378523349762,joy,0.4648183286190033
urban blocks,शहरी खण्ड,surprise,0.4617575407028198,surprise,0.3803873360157013
It is a device made for scanning photographic film directly into a computer without the use of any intermediate printmaking.,यह एक तंत्र है जो बिना किसी बीच के मुद्रण वाले तंत्र के कंप्यूटर में सीधे छायाचित्रों वाली फिल्म को स्कैन करने के लिए बनाया गया है। ,surprise,0.3012852668762207,surprise,0.7540003061294556
Using ocrad binary:,ओसीआरएडी द्विचर उपयोग मेंः,surprise,0.4830368757247925,surprise,0.4203502833843231
"Any narrow definition of democracy, which tries to ignore realities, can only mean the growth of political ideas which are anti - democratic.","लोकतंत्र की किसी संकीर्ण परिभाषा से, जो यथार्थ स्थिति की अनदेखी करती है, केवल यही नतीजा निकलेगा कि लोकतंत्र-विरोधी राजनैतिक विचार पनपेंगे। ",surprise,0.7081209421157837,surprise,0.5504919290542603
Of his sin will be questioned that Day neither man nor jinn.,तो उस दिन न तो किसी इन्सान से उसके गुनाह के बारे में पूछा जाएगा न किसी जिन से,surprise,0.6364712715148926,surprise,0.5428710579872131
"The male is similar to the female illustrated but has a gorget of two, more or less black bands complete instead of a single one slightly broken in the middle.","नर वैसे तो मादा जैसा होता है देखिए चित्र लेनि उसके गले में एक लड़ के बजाय दो या अधिक लड़ों की, बीच में टूटी, मनका सी होती हैं। ",surprise,0.41462773084640503,sadness,0.38218289613723755
"The Path of Allah, to whom belongs all that is in the heavens and all that is in the earth. Surely, to Allah all things return.",(यानि) उसका रास्ता कि जो आसमानों में है और जो कुछ ज़मीन में है (ग़रज़ सब कुछ) उसी का है सुन रखो सब काम ख़ुदा ही की तरफ रूजू होंगे और वही फैसला करेगा,surprise,0.49208927154541016,surprise,0.39478355646133423
"Similarly, there are a few 'white dwarfs' below the main sequence.",इसी प्रकार मुख्य अनुक्रम के नीचे कुछ सफेद बौने भी हैं। ,surprise,0.2762572765350342,surprise,0.5954561829566956
Other Address Label,अन्य पता लेबल,surprise,0.5692300200462341,surprise,0.7541530132293701
constant demand,स्थिर मांग,surprise,0.5394414663314819,sadness,0.7665442824363708
garbage can,कचरा डब्बा,surprise,0.5964770913124084,surprise,0.5647820234298706
Select Character,अक्षर चुनें,surprise,0.6508153080940247,surprise,0.502400279045105
Offset,ऑफसेट,surprise,0.5567593574523926,surprise,0.664213240146637
So which of the favors of your Lord would you deny?,अतः तुम दोनों अपने रब की अनुकम्पाओं में से किस-किस को झुठलाओगे? ,surprise,0.6866055130958557,surprise,0.4602862298488617
